Symbol,Name,IPOyear,Sector,industry
TFSC,1347 Capital Corp.,2014,Finance,Business Services
TFSCR,1347 Capital Corp.,2014,Finance,Business Services
TFSCU,1347 Capital Corp.,2014,Finance,Business Services
TFSCW,1347 Capital Corp.,2014,Finance,Business Services
PIH,1347 Property Insurance Holdings Inc.,2014,Finance,Property-Casualty Insurers
FLWS,1-800 FLOWERS.COM Inc.,1999,Consumer Services,Other Specialty Stores
FCTY,1st Century Bancshares Inc,0,Finance,Major Banks
FCCY,1st Constitution Bancorp (NJ),0,Finance,Savings Institutions
SRCE,1st Source Corporation,0,Finance,Major Banks
VNET,21Vianet Group Inc.,2011,Technology,Computer Software: Programming Data Processing
TWOU,2U Inc.,2014,Technology,Computer Software: Prepackaged Software
DGLD,3X Inverse Gold ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
DSLV,3X Inverse Silver ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
UGLD,3X Long Gold ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
USLV,3X Long Silver ETN Velocityshares,0,Finance,Investment Bankers/Brokers/Service
JOBS,51job Inc.,2004,Technology,Diversified Commercial Services
SIXD,6D Global Technologies Inc.,0,Consumer Services,Professional Services
CAFD,8point3 Energy Partners LP,2015,Public Utilities,Electric Utilities: Central
EGHT,8x8 Inc,0,Public Utilities,Telecommunications Equipment
AVHI,A V Homes Inc.,0,Capital Goods,Homebuilding
SHLM,A. Schulman Inc.,1972,Basic Industries,Major Chemicals
AAON,AAON Inc.,0,Capital Goods,Industrial Machinery/Components
ABAX,ABAXIS Inc.,1992,Capital Goods,Industrial Machinery/Components
ABY,Abengoa Yield plc,2014,Public Utilities,Electric Utilities: Central
ABGB,Abengoa S.A.,2013,Consumer Services,Military/Government/Technical
ABEO,Abeona Therapeutics Inc.,0,Health Care,Major Pharmaceuticals
ABEOW,Abeona Therapeutics Inc.,0,Health Care,Major Pharmaceuticals
ABMD,ABIOMED Inc.,0,Health Care,Medical/Dental Instruments
AXAS,Abraxas Petroleum Corporation,0,Energy,Oil & Gas Production
ACTG,Acacia Research Corporation,0,Miscellaneous,Multi-Sector Companies
ACHC,Acadia Healthcare Company Inc.,0,Health Care,Medical Specialities
ACAD,ACADIA Pharmaceuticals Inc.,1985,Health Care,Major Pharmaceuticals
ACST,Acasti Pharma Inc.,0,Health Care,Major Pharmaceuticals
AXDX,Accelerate Diagnostics Inc.,0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
XLRN,Acceleron Pharma Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ANCX,Access National Corporation,0,Finance,Savings Institutions
ARAY,Accuray Incorporated,2007,Health Care,Medical/Dental Instruments
VXDN,AccuShares Spot CBOE VIX Down Shares,0,n/a,n/a
VXUP,AccuShares Spot CBOE VIX Up Shares,0,n/a,n/a
ACRX,AcelRx Pharmaceuticals Inc.,2011,Health Care,Major Pharmaceuticals
ACET,Aceto Corporation,0,Health Care,Other Pharmaceuticals
AKAO,Achaogen Inc.,2014,Health Care,Major Pharmaceuticals
ACHN,Achillion Pharmaceuticals Inc.,2006,Health Care,Major Pharmaceuticals
ACIW,ACI Worldwide Inc.,0,Technology,Computer Software: Prepackaged Software
ACNB,ACNB Corporation,0,Finance,Major Banks
ACOR,Acorda Therapeutics Inc.,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACTS,Actions Semiconductor Co. Ltd.,2005,Technology,Semiconductors
ACPW,Active Power Inc.,2000,Public Utilities,Electric Utilities: Central
ATVI,Activision Blizzard Inc,0,Technology,Computer Software: Prepackaged Software
ACTA,Actua Corporation,0,Technology,EDP Services
ACUR,Acura Pharmaceuticals Inc.,0,Health Care,Major Pharmaceuticals
ACXM,Acxiom Corporation,0,Technology,EDP Services
ADMS,Adamas Pharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
ADMP,Adamis Pharmaceuticals Corporation,0,Health Care,Major Pharmaceuticals
ADAP,Adaptimmune Therapeutics plc,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADUS,Addus HomeCare Corporation,2009,Health Care,Medical/Nursing Services
AEY,ADDvantage Technologies Group Inc.,0,Consumer Services,Office Equipment/Supplies/Services
ADEP,Adept Technology Inc.,0,Technology,Industrial Machinery/Components
ADMA,ADMA Biologics Inc,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ADBE,Adobe Systems Incorporated,1986,Technology,Computer Software: Prepackaged Software
ADTN,ADTRAN Inc.,1994,Public Utilities,Telecommunications Equipment
ADRO,Aduro Biotech Inc.,2015,Health Care,Major Pharmaceuticals
AAAP,Advanced Accelerator Applications S.A.,0,n/a,n/a
AEIS,Advanced Energy Industries Inc.,1995,Capital Goods,Industrial Machinery/Components
AMD,Advanced Micro Devices Inc.,0,Technology,Semiconductors
ADXS,Advaxis Inc.,0,Health Care,Major Pharmaceuticals
ADXSW,Advaxis Inc.,0,Health Care,Major Pharmaceuticals
MULT,AdvisorShares Sunrise Global Multi-Strategy ETF,0,n/a,n/a
YPRO,AdvisorShares YieldPro ETF,0,n/a,n/a
AEGR,Aegerion Pharmaceuticals Inc.,2010,Health Care,Major Pharmaceuticals
AEGN,Aegion Corp,0,Basic Industries,Water Supply
AEHR,Aehr Test Systems,1997,Capital Goods,Electrical Products
AMTX,Aemetis Inc,0,Basic Industries,Major Chemicals
AEPI,AEP Industries Inc.,1986,Capital Goods,Specialty Chemicals
AERI,Aerie Pharmaceuticals Inc.,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVAV,AeroVironment Inc.,2007,Capital Goods,Aerospace
AEZS,AEterna Zentaris Inc.,0,Health Care,Major Pharmaceuticals
AEMD,Aethlon Medical Inc.,0,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AFMD,Affimed N.V.,2014,Health Care,Major Pharmaceuticals
AFFX,Affymetrix Inc.,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments
AGEN,Agenus Inc.,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AGRX,Agile Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
AGYS,Agilysys Inc.,0,Technology,EDP Services
AGIO,Agios Pharmaceuticals Inc.,2013,Health Care,Major Pharmaceuticals
AGFS,AgroFresh Solutions Inc.,2014,Finance,Business Services
AGFSW,AgroFresh Solutions Inc.,2014,Finance,Business Services
AIMT,Aimmune Therapeutics Inc.,2015,Health Care,Major Pharmaceuticals
AIRM,Air Methods Corporation,0,Transportation,Transportation Services
AIRT,Air T Inc.,0,Transportation,Air Freight/Delivery Services
ATSG,Air Transport Services Group Inc,0,Transportation,Air Freight/Delivery Services
AMCN,AirMedia Group Inc,2007,Technology,Advertising
AIXG,Aixtron SE,0,Technology,Industrial Machinery/Components
AKAM,Akamai Technologies Inc.,1999,Miscellaneous,Business Services
AKBA,Akebia Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
AKER,Akers Biosciences Inc,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
AKRX,Akorn Inc.,0,Health Care,Major Pharmaceuticals
ALRM,Alarm.com Holdings Inc.,2015,Technology,Computer Software: Prepackaged Software
ALSK,Alaska Communications Systems Group Inc.,1999,Public Utilities,Telecommunications Equipment
AMRI,Albany Molecular Research Inc.,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ABDC,Alcentra Capital Corp.,0,n/a,n/a
ADHD,Alcobra Ltd.,2013,Health Care,Major Pharmaceuticals
ALDR,Alder BioPharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
ALDX,Aldeyra Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
ALXN,Alexion Pharmaceuticals Inc.,1996,Health Care,Major Pharmaceuticals
ALXA,Alexza Pharmaceuticals Inc.,2006,Health Care,Major Pharmaceuticals
ALCO,Alico Inc.,0,Consumer Non-Durables,Farming/Seeds/Milling
ALGN,Align Technology Inc.,2001,Health Care,Industrial Specialties
ALIM,Alimera Sciences Inc.,2010,Health Care,Major Pharmaceuticals
ALKS,Alkermes plc,1991,Health Care,Major Pharmaceuticals
ALGT,Allegiant Travel Company,2006,Transportation,Air Freight/Delivery Services
ALLB,Alliance Bancorp Inc. of Pennsylvania,0,Finance,Savings Institutions
AFOP,Alliance Fiber Optic Products Inc.,2000,Technology,Semiconductors
AIQ,Alliance HealthCare Services Inc.,2001,Health Care,Medical Specialities
AHGP,Alliance Holdings GP L.P.,2006,Energy,Coal Mining
ARLP,Alliance Resource Partners L.P.,1999,Energy,Coal Mining
AHPI,Allied Healthcare Products Inc.,1992,Health Care,Industrial Specialties
AMOT,Allied Motion Technologies Inc.,0,Capital Goods,Electrical Products
ALQA,Alliqua BioMedical Inc.,0,Health Care,Medical/Dental Instruments
ALLT,Allot Communications Ltd.,2006,Technology,Computer Communications Equipment
MDRX,Allscripts Healthcare Solutions Inc.,0,Technology,EDP Services
AFAM,Almost Family Inc,0,Health Care,Medical/Nursing Services
ALNY,Alnylam Pharmaceuticals Inc.,2004,Health Care,Major Pharmaceuticals
AOSL,Alpha and Omega Semiconductor Limited,2010,Technology,Semiconductors
SMCP,AlphaMark Actively Managed Small Cap ETF,0,n/a,n/a
ATEC,Alphatec Holdings Inc.,2006,Health Care,Medical/Dental Instruments
ALTR,Altera Corporation,1988,Technology,Semiconductors
ASPS,Altisource Portfolio Solutions S.A.,0,Consumer Services,Other Consumer Services
AIMC,Altra Industrial Motion Corp.,2006,Capital Goods,Industrial Machinery/Components
AMAG,AMAG Pharmaceuticals Inc.,0,Health Care,Major Pharmaceuticals
AMRN,Amarin Corporation PLC,0,Health Care,Major Pharmaceuticals
AMRK,A-Mark Precious Metals Inc.,0,Basic Industries,Other Specialty Stores
AYA,Amaya Inc.,0,Technology,Computer Software: Programming Data Processing
AMZN,Amazon.com Inc.,1997,Consumer Services,Catalog/Specialty Distribution
AMBC,Ambac Financial Group Inc.,0,Finance,Property-Casualty Insurers
AMBCW,Ambac Financial Group Inc.,0,Finance,Property-Casualty Insurers
AMBA,Ambarella Inc.,2012,Technology,Semiconductors
EPAX,Ambassadors Group Inc.,0,Consumer Services,Other Consumer Services
AMCX,AMC Networks Inc.,0,Consumer Services,Television Services
DOX,Amdocs Limited,0,Technology,EDP Services
AMDA,Amedica Corporation,2014,Health Care,Medical/Dental Instruments
AMED,Amedisys Inc,0,Health Care,Medical/Nursing Services
UHAL,Amerco,0,Consumer Services,Rental/Leasing Companies
ASBI,Ameriana Bancorp,0,Finance,Savings Institutions
ATAX,America First Multifamily Investors L.P.,0,Finance,Finance: Consumer Services
AMOV,America Movil S.A.B. de C.V.,0,Public Utilities,Telecommunications Equipment
AAL,American Airlines Group Inc.,0,Transportation,Air Freight/Delivery Services
AGNC,American Capital Agency Corp.,2008,Consumer Services,Real Estate Investment Trusts
AGNCB,American Capital Agency Corp.,0,Consumer Services,Real Estate Investment Trusts
AGNCP,American Capital Agency Corp.,0,Consumer Services,Real Estate Investment Trusts
MTGE,American Capital Mortgage Investment Corp.,2011,Consumer Services,Real Estate Investment Trusts
MTGEP,American Capital Mortgage Investment Corp.,0,Consumer Services,Real Estate Investment Trusts
ACSF,American Capital Senior Floating Ltd.,2014,n/a,n/a
ACAS,American Capital Ltd.,1997,n/a,n/a
ANCI,American Caresource Holdings Inc,0,Health Care,Hospital/Nursing Management
AETI,American Electric Technologies Inc.,0,Energy,Industrial Machinery/Components
AMIC,American Independence Corp.,0,Finance,Accident &Health Insurance
AMNB,American National Bankshares Inc.,0,Finance,Major Banks
ANAT,American National Insurance Company,0,Finance,Life Insurance
APEI,American Public Education Inc.,2007,Consumer Services,Other Consumer Services
ARII,American Railcar Industries Inc.,2006,Capital Goods,Railroads
AMRB,American River Bankshares,0,Finance,Major Banks
ASEI,American Science and Engineering Inc.,0,Health Care,Medical Electronics
AMSWA,American Software Inc.,0,Technology,Computer Software: Prepackaged Software
AMSC,American Superconductor Corporation,1991,Consumer Durables,Metal Fabrications
AMWD,American Woodmark Corporation,1986,Basic Industries,Forest Products
CRMT,America&#39;s Car-Mart Inc.,0,Consumer Durables,Automotive Aftermarket
ABCB,Ameris Bancorp,1994,Finance,Major Banks
AMSF,AMERISAFE Inc.,2005,Finance,Property-Casualty Insurers
ASRV,AmeriServ Financial Inc.,0,Finance,Major Banks
ASRVP,AmeriServ Financial Inc.,0,Finance,Major Banks
ATLO,Ames National Corporation,0,Finance,Major Banks
AMGN,Amgen Inc.,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FOLD,Amicus Therapeutics Inc.,2007,Health Care,Major Pharmaceuticals
AMKR,Amkor Technology Inc.,1998,Technology,Semiconductors
AMPH,Amphastar Pharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
AMSG,Amsurg Corp.,0,Health Care,Medical/Nursing Services
AMSGP,Amsurg Corp.,0,Health Care,Medical/Nursing Services
ASYS,Amtech Systems Inc.,0,Technology,Industrial Machinery/Components
AFSI,AmTrust Financial Services Inc.,0,Finance,Property-Casualty Insurers
AMRS,Amyris Inc.,2010,Basic Industries,Major Chemicals
ANAC,Anacor Pharmaceuticals Inc.,2010,Health Care,Major Pharmaceuticals
ANAD,ANADIGICS Inc.,1995,Technology,Semiconductors
ADI,Analog Devices Inc.,0,Technology,Semiconductors
ALOG,Analogic Corporation,1972,Capital Goods,Electrical Products
ANCB,Anchor Bancorp,2011,Finance,Banks
ABCW,Anchor BanCorp Wisconsin Inc.,2014,Finance,Banks
ANGI,Angie&#39;s List Inc.,2011,Consumer Services,Advertising
ANGO,AngioDynamics Inc.,2004,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,0,Health Care,Major Pharmaceuticals
ANIK,Anika Therapeutics Inc.,0,Health Care,Medical/Dental Instruments
ANSS,ANSYS Inc.,1996,Technology,Computer Software: Prepackaged Software
ATRS,Antares Pharma Inc.,0,Health Care,Medical/Dental Instruments
ANTE,Anterios Inc.,0,n/a,n/a
ANTH,Anthera Pharmaceuticals Inc.,2010,Health Care,Major Pharmaceuticals
ABAC,Aoxin Tianli Group Inc.,0,Consumer Non-Durables,Farming/Seeds/Milling
ATNY,API Technologies Corp.,0,Technology,Semiconductors
APIC,Apigee Corporation,2015,Technology,Computer Software: Prepackaged Software
APOG,Apogee Enterprises Inc.,0,Capital Goods,Auto Parts:O.E.M.
APOL,Apollo Education Group Inc.,1994,Consumer Services,Other Consumer Services
AINV,Apollo Investment Corporation,2004,n/a,n/a
AMEH,Apollo Medical Holdings Inc.,0,n/a,n/a
APPF,AppFolio Inc.,2015,Technology,Computer Software: Prepackaged Software
AAPL,Apple Inc.,1980,Technology,Computer Manufacturing
ARCI,Appliance Recycling Centers of America Inc.,0,Consumer Services,Home Furnishings
APDN,Applied DNA Sciences Inc,0,Consumer Services,Other Consumer Services
APDNW,Applied DNA Sciences Inc,0,Consumer Services,Other Consumer Services
AGTC,Applied Genetic Technologies Corporation,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMAT,Applied Materials Inc.,1972,Technology,Semiconductors
AMCC,Applied Micro Circuits Corporation,1997,Technology,Semiconductors
AAOI,Applied Optoelectronics Inc.,2013,Technology,Semiconductors
AREX,Approach Resources Inc.,2007,Energy,Oil & Gas Production
APRI,Apricus Biosciences Inc,0,Health Care,Major Pharmaceuticals
APTO,Aptose Biosciences Inc.,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AQMS,Aqua Metals Inc.,2015,Basic Industries,Metal Fabrications
AQXP,Aquinox Pharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
AUMA,AR Capital Acquisition Corp.,2014,Finance,Business Services
AUMAU,AR Capital Acquisition Corp.,2014,Finance,Business Services
AUMAW,AR Capital Acquisition Corp.,2014,Finance,Business Services
ARDM,Aradigm Corporation,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
PETX,Aratana Therapeutics Inc.,2013,Health Care,Major Pharmaceuticals
ARBR,ArborGen Inc.,0,n/a,n/a
ABUS,Arbutus Biopharma Corporation,0,Health Care,Major Pharmaceuticals
ARCW,ARC Group Worldwide Inc.,0,Capital Goods,Metal Fabrications
ABIO,ARCA biopharma Inc.,0,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
RKDA,Arcadia Biosciences Inc.,2015,Basic Industries,Agricultural Chemicals
ARCB,ArcBest Corporation,0,Transportation,Trucking Freight/Courier Services
ACGL,Arch Capital Group Ltd.,0,Finance,Property-Casualty Insurers
ACAT,Arctic Cat Inc.,1990,Capital Goods,Industrial Specialties
ARDX,Ardelyx Inc.,2014,Health Care,Major Pharmaceuticals
ARNA,Arena Pharmaceuticals Inc.,2000,Health Care,Major Pharmaceuticals
ARCC,Ares Capital Corporation,2004,n/a,n/a
AGII,Argo Group International Holdings Ltd.,0,Finance,Specialty Insurers
AGIIL,Argo Group International Holdings Ltd.,0,Finance,Specialty Insurers
ARGS,Argos Therapeutics Inc.,2014,Health Care,Major Pharmaceuticals
ARIS,ARI Network Services Inc.,1991,Technology,Computer Software: Programming Data Processing
ARIA,ARIAD Pharmaceuticals Inc.,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARKR,Ark Restaurants Corp.,0,Consumer Services,Restaurants
ARMH,ARM Holdings plc,0,Technology,Semiconductors
ARTX,Arotech Corporation,1994,Miscellaneous,Industrial Machinery/Components
ARWA,Arowana Inc.,2015,Finance,Business Services
ARWAR,Arowana Inc.,2015,Finance,Business Services
ARWAU,Arowana Inc.,2015,Finance,Business Services
ARWAW,Arowana Inc.,2015,Finance,Business Services
ARQL,ArQule Inc.,1996,Health Care,Major Pharmaceuticals
ARRY,Array BioPharma Inc.,2000,Health Care,Major Pharmaceuticals
ARRS,ARRIS Group Inc.,0,Technology,Radio And Television Broadcasting And Communications Equipment
DWAT,Arrow DWA Tactical ETF,0,n/a,n/a
AROW,Arrow Financial Corporation,0,Finance,Major Banks
ARWR,Arrowhead Research Corporation,0,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ARTNA,Artesian Resources Corporation,0,Public Utilities,Water Supply
ARTW,Art&#39;s-Way Manufacturing Co. Inc.,0,Capital Goods,Industrial Machinery/Components
PUMP,Asante Solutions Inc.,0,n/a,n/a
ASBB,ASB Bancorp Inc.,2011,Finance,Savings Institutions
ASNA,Ascena Retail Group Inc.,0,Consumer Services,Clothing/Shoe/Accessory Stores
ASND,Ascendis Pharma A/S,2015,Health Care,Major Pharmaceuticals
ASCMA,Ascent Capital Group Inc.,0,Consumer Services,Other Consumer Services
ASTI,Ascent Solar Technologies Inc.,0,Technology,Semiconductors
APWC,Asia Pacific Wire & Cable Corporation Limited,0,Basic Industries,Telecommunications Equipment
ASML,ASML Holding N.V.,1995,Technology,Industrial Machinery/Components
AZPN,Aspen Technology Inc.,1994,Technology,EDP Services
ASMB,Assembly Biosciences Inc.,0,Health Care,Major Pharmaceuticals
ASFI,Asta Funding Inc.,1995,Finance,Finance Companies
ASTE,Astec Industries Inc.,1986,Capital Goods,Construction/Ag Equipment/Trucks
ALOT,Astro-Med Inc.,1983,Technology,Computer peripheral equipment
ATRO,Astronics Corporation,0,Capital Goods,Military/Government/Technical
ASTC,Astrotech Corporation,0,Capital Goods,Military/Government/Technical
ASUR,Asure Software Inc,0,Technology,EDP Services
ATAI,ATA Inc.,2008,Consumer Services,Other Consumer Services
ATRA,Atara Biotherapeutics Inc.,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ATHN,athenahealth Inc.,2007,Miscellaneous,Business Services
AFCB,Athens Bancshares Corporation,2010,Finance,Savings Institutions
ATHX,Athersys Inc.,0,Health Care,Major Pharmaceuticals
AAPC,Atlantic Alliance Partnership Corp.,2015,Finance,Business Services
AAME,Atlantic American Corporation,0,Finance,Life Insurance
ACFC,Atlantic Coast Financial Corporation,0,Finance,Savings Institutions
ATNI,Atlantic Tele-Network Inc.,0,Public Utilities,Telecommunications Equipment
ATLC,Atlanticus Holdings Corporation,1995,Finance,Finance: Consumer Services
AAWW,Atlas Air Worldwide Holdings,0,Transportation,Transportation Services
AFH,Atlas Financial Holdings Inc.,2013,Finance,Property-Casualty Insurers
ATML,Atmel Corporation,1991,Technology,Semiconductors
ATOS,Atossa Genetics Inc.,2012,Health Care,Medical/Dental Instruments
ATRC,AtriCure Inc.,2005,Health Care,Medical/Dental Instruments
ATRI,ATRION Corporation,0,Health Care,Medical/Dental Instruments
ATRM,ATRM Holdings Inc.,1993,Capital Goods,Electrical Products
ATTU,Attunity Ltd.,0,Technology,Computer Software: Prepackaged Software
LIFE,aTyr Pharma Inc.,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AUBN,Auburn National Bancorporation Inc.,0,Finance,Major Banks
AUDC,AudioCodes Ltd.,1999,Public Utilities,Telecommunications Equipment
AUPH,Aurinia Pharmaceuticals Inc,0,Health Care,Major Pharmaceuticals
EARS,Auris Medical Holding AG,2014,Health Care,Major Pharmaceuticals
ADAT,Authentidate Holding Corp.,0,Technology,EDP Services
ABTL,Autobytel Inc.,1999,Technology,Computer Software: Programming Data Processing
ADSK,Autodesk Inc.,0,Technology,Computer Software: Prepackaged Software
AGMX,AutoGenomics Inc.,0,n/a,n/a
ADP,Automatic Data Processing Inc.,0,Technology,EDP Services
AVGO,Avago Technologies Limited,2009,Technology,Semiconductors
AAVL,Avalanche Biotechnologies Inc.,2014,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AVNU,Avenue Financial Holdings Inc.,2015,Finance,Major Banks
AVEO,AVEO Pharmaceuticals Inc.,2010,Health Care,Major Pharmaceuticals
AVNW,Aviat Networks Inc.,0,Technology,Radio And Television Broadcasting And Communications Equipment
AVID,Avid Technology Inc.,1993,Miscellaneous,Industrial Machinery/Components
AVGR,Avinger Inc.,2015,Health Care,Medical/Dental Instruments
CAR,Avis Budget Group Inc.,0,Consumer Services,Rental/Leasing Companies
AWRE,Aware Inc.,1996,Technology,Computer Software: Prepackaged Software
ACLS,Axcelis Technologies Inc.,2000,Technology,Industrial Machinery/Components
AXPW,Axion Power International Inc.,0,Miscellaneous,Industrial Machinery/Components
AXPWW,Axion Power International Inc.,0,Miscellaneous,Industrial Machinery/Components
AXGN,AxoGen Inc.,0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
AXTI,AXT Inc,1998,Technology,Semiconductors
BCOM,B Communications Ltd.,0,Consumer Services,Telecommunications Equipment
RILY,B. Riley Financial Inc.,0,Miscellaneous,Business Services
BOSC,B.O.S. Better Online Solutions,0,Technology,Computer Communications Equipment
BEAV,B/E Aerospace Inc.,1990,Consumer Durables,Industrial Specialties
BIDU,Baidu Inc.,2005,Technology,Computer Software: Programming Data Processing
BCPC,Balchem Corporation,0,Basic Industries,Major Chemicals
BWINA,Baldwin & Lyons Inc.,0,Finance,Property-Casualty Insurers
BWINB,Baldwin & Lyons Inc.,0,Finance,Property-Casualty Insurers
BLDP,Ballard Power Systems Inc.,0,Energy,Industrial Machinery/Components
BANF,BancFirst Corporation,1993,Finance,Major Banks
BANFP,BancFirst Corporation,0,Finance,Major Banks
BKMU,Bank Mutual Corporation,0,Finance,Savings Institutions
BOCH,Bank of Commerce Holdings (CA),0,Finance,Major Banks
BMRC,Bank of Marin Bancorp,0,Finance,Major Banks
BKSC,Bank of South Carolina Corp.,0,Finance,Major Banks
BOTJ,Bank of the James Financial Group Inc.,0,Finance,Major Banks
OZRK,Bank of the Ozarks,1997,Finance,Major Banks
BFIN,BankFinancial Corporation,0,Finance,Savings Institutions
BWFG,Bankwell Financial Group Inc.,2014,Finance,Major Banks
BANR,Banner Corporation,0,Finance,Major Banks
BZUN,Baozun Inc.,2015,Consumer Services,Catalog/Specialty Distribution
TAPR,Barclays Plc,0,Finance,Commercial Banks
BHAC,Barington/Hilco Acquisition Corp.,2015,Finance,Business Services
BHACR,Barington/Hilco Acquisition Corp.,2015,Finance,Business Services
BHACU,Barington/Hilco Acquisition Corp.,2015,Finance,Business Services
BHACW,Barington/Hilco Acquisition Corp.,2015,Finance,Business Services
BBSI,Barrett Business Services Inc.,1993,Technology,Professional Services
BSET,Bassett Furniture Industries Incorporated,0,Consumer Durables,Home Furnishings
BYBK,Bay Bancorp Inc.,0,Finance,Major Banks
BYLK,Baylake Corp,0,Finance,Major Banks
BV,Bazaarvoice Inc.,2012,Technology,Computer Software: Prepackaged Software
BBCN,BBCN Bancorp Inc.,0,Finance,Major Banks
BCBP,BCB Bancorp Inc. (NJ),2005,Finance,Savings Institutions
BDCV,BDCA Venture Inc.,2011,n/a,n/a
BECN,Beacon Roofing Supply Inc.,2004,Consumer Services,RETAIL: Building Materials
BSF,Bear State Financial Inc.,0,Finance,Savings Institutions
BBGI,Beasley Broadcast Group Inc.,2000,Consumer Services,Broadcasting
BEBE,bebe stores inc.,1998,Consumer Non-Durables,Apparel
BBBY,Bed Bath & Beyond Inc.,1992,Consumer Services,Home Furnishings
BELFA,Bel Fuse Inc.,0,Capital Goods,Electrical Products
BELFB,Bel Fuse Inc.,0,Capital Goods,Electrical Products
BLPH,Bellerophon Therapeutics Inc.,2015,Health Care,Major Pharmaceuticals
BLCM,Bellicum Pharmaceuticals Inc.,2014,Health Care,Major Pharmaceuticals
BNCL,Beneficial Bancorp Inc.,0,Finance,Savings Institutions
BNFT,Benefitfocus Inc.,2013,Technology,Computer Software: Prepackaged Software
BNTC,Benitec Biopharma Limited,2015,Health Care,Major Pharmaceuticals
BNTCW,Benitec Biopharma Limited,2015,Health Care,Major Pharmaceuticals
BGMD,BG Medicine Inc.,2011,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BGCP,BGC Partners Inc.,0,Finance,Investment Bankers/Brokers/Service
BGFV,Big 5 Sporting Goods Corporation,2002,Consumer Services,Other Specialty Stores
BIND,BIND Therapeutics Inc.,2013,Health Care,Major Pharmaceuticals
ORPN,Bio Blast Pharma Ltd.,2014,Health Care,Major Pharmaceuticals
BASI,Bioanalytical Systems Inc.,1997,Health Care,Biotechnology: Commercial Physical & Biological Resarch
BCDA,BioCardia Inc.,0,n/a,n/a
BIOC,Biocept Inc.,2014,Health Care,Medical Specialities
BCRX,BioCryst Pharmaceuticals Inc.,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOD,Biodel Inc.,2007,Health Care,Major Pharmaceuticals
BDSI,BioDelivery Sciences International Inc.,0,Health Care,Major Pharmaceuticals
BIIB,Biogen Inc.,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BIOL,Biolase Inc.,0,Health Care,Medical/Dental Instruments
BLFS,BioLife Solutions Inc.,0,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
BLRX,BioLineRx Ltd.,0,Health Care,Major Pharmaceuticals
BMRN,BioMarin Pharmaceutical Inc.,1999,Health Care,Major Pharmaceuticals
BVXV,BiondVax Pharmaceuticals Ltd.,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BVXVW,BiondVax Pharmaceuticals Ltd.,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BPTH,Bio-Path Holdings Inc.,0,Health Care,Major Pharmaceuticals
BIOS,BioScrip Inc.,0,Health Care,Medical/Nursing Services
BBC,BioShares Biotechnology Clinical Trials Fund,0,n/a,n/a
BBP,BioShares Biotechnology Products Fund,0,n/a,n/a
BSTC,BioSpecifics Technologies Corp,0,Health Care,Major Pharmaceuticals
BSPM,Biostar Pharmaceuticals Inc.,0,Health Care,Major Pharmaceuticals
BOTA,Biota Pharmaceuticals Inc.,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TECH,Bio-Techne Corp,0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
